case_id,query,candidate_id,name,category,city,address,languages,tags,label,notes
toronto-newcomer-health,newcomer multicultural health Toronto,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
toronto-newcomer-health,newcomer multicultural health Toronto,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,2,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,3,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
scarborough-walk-in-mandarin,Mandarin walk-in primary care Scarborough,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
toronto-addiction-help,addiction mental health help Toronto,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
toronto-addiction-help,addiction mental health help Toronto,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
toronto-addiction-help,addiction mental health help Toronto,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
toronto-addiction-help,addiction mental health help Toronto,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,0,
toronto-addiction-help,addiction mental health help Toronto,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,0,
toronto-addiction-help,addiction mental health help Toronto,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
toronto-addiction-help,addiction mental health help Toronto,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,3,
toronto-addiction-help,addiction mental health help Toronto,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,3,
toronto-addiction-help,addiction mental health help Toronto,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
toronto-addiction-help,addiction mental health help Toronto,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
toronto-addiction-help,addiction mental health help Toronto,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
toronto-addiction-help,addiction mental health help Toronto,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,1,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,3,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
scarborough-youth-mental-health,youth mental health walk-in Scarborough,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,3,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
milton-medication-pharmacy,medication pharmacy walk-in Milton,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,0,
toronto-french-care,French primary care Toronto,r-yee-hong,Yee Hong Centre Scarborough,PSW and home care,Scarborough,2319 McNicoll Ave,Mandarin; Cantonese; English,OHIP; meal support; mobility,0,
toronto-french-care,French primary care Toronto,r-spectrum,Spectrum Home Health,PSW and home care,Scarborough,1200 Markham Road,English; Mandarin,private; mobility,0,
toronto-french-care,French primary care Toronto,r-meals,Mandarin Meals on Wheels,meal support,Scarborough,2500 Lawrence Ave E,Mandarin; English,sliding scale; meal support,0,
toronto-french-care,French primary care Toronto,r-access,Access Alliance Multicultural Health Centre,community health centre,Toronto,340 College Street,Mandarin; Cantonese; English,OHIP; walk-in; newcomer,2,
toronto-french-care,French primary care Toronto,r-scarborough-chc,Scarborough Centre for Healthy Communities,community health centre,Scarborough,629 Markham Road,English; Mandarin,OHIP; walk-in; primary care,0,
toronto-french-care,French primary care Toronto,r-woodgreen,WoodGreen Community Services,seniors and social support,Toronto,815 Danforth Avenue,English; Mandarin,seniors; meal support; housing,0,
toronto-french-care,French primary care Toronto,r-camh,CAMH Access CAMH,addiction and mental health,Toronto,1001 Queen Street West,English; French,addiction services; mental health; OHIP,0,
toronto-french-care,French primary care Toronto,r-connex,ConnexOntario,addiction and mental health,Ontario,Toronto service line,English; French,addiction services; 24 hour; phone,0,
toronto-french-care,French primary care Toronto,r-youth,East Metro Youth Services,youth mental health,Scarborough,1200 Markham Road,English; Mandarin,youth; mental health; walk-in,0,
toronto-french-care,French primary care Toronto,r-pharmacy,Main and Bronte Pharmacy,pharmacy services,Milton,10 Bronte Street South,English,pharmacy services; medication; walk-in,0,
toronto-french-care,French primary care Toronto,r-hospital,Michael Garron Hospital,hospital,Toronto,825 Coxwell Avenue,English,hospital; emergency; OHIP,0,
toronto-french-care,French primary care Toronto,r-french,Centre francophone du Grand Toronto,community health centre,Toronto,555 Richmond Street West,French; English,French; OHIP; primary care,3,
